Smile,id
C=C[C@]1(C)CC=C2[C@@H](CC[C@@H]3C(C)(C)[C@H](OC(=N)O)CC[C@@]23C)C1,LTS0094854
CC(=O)O[C@H]1C[C@@H](O)C2=CC(=O)C(O)=C[C@]2(C)[C@H]1C,LTS0040067
CO[C@]1(CC[C@H](C)CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@H](O[C@H]6O[C@@H](CO[C@H]7O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]7O)[C@H](O)[C@@H](O)[C@@H]6O[C@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]6O)CC[C@@]5(C)[C@H]4CC[C@@]3(C)[C@H]2[C@@H]1C,LTS0040313
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,LTS0120172
CC(=O)C1=CCC2C3=CCC4=CC(O)C(O)CC4(C)C3CC(O)C12C,LTS0047741
OC[C@H]1O[C@@H](Oc2c(O)cc(O)cc2/C=C/c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O,LTS0043245
COc1cc(-c2cc(=O)c3c(O)cc(OC(=O)C4OC(O)C(O)C(O)C4O)cc3o2)ccc1O,LTS0267783
C/C(=C\C=C\C=C\C=C\C=C\C(C)C(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)/C(C)=C/C(C)CCC/C=C/C(C)C/C=C/CCCN(C)C(=N)N)C(O)=NC1=C(O)CCC1=O,LTS0117260
CC(=O)O[C@@H]1C(=O)C(C)(C)C/C=C(/C)C(=O)[C@@]2(OC(C)=O)C[C@@H](C)[C@H](OC(=O)c3ccccc3)[C@@H]2/C=C(\C)[C@@H]1OC(C)=O,LTS0109328
COc1cc(OC)c(Oc2cc3c(cc2OC)-c2c(OC)c(OC)c(OC)c4c2[C@H](C3)N(C)CC4)cc1C[C@@H]1c2cc(OC)c(OC)c(O)c2CCN1C,LTS0117003
COC(=O)[C@@]1(C)C[C@@H]2[C@](C)(CC1=O)C[C@H](O)[C@]1(C)C3=CC=C4C(=CC(=O)C(O)=C4C)[C@]3(C)CC[C@@]21C,LTS0049097
C=C1C[C@@H](O)[C@H](O)[C@@]2(C)CC[C@H]([C@](C)(O)CO)C[C@H]12,LTS0256750
