Name,Smile,CAS Number,Type
Pyridine,C1=CC=NC=C1,110-86-1,Biofuel
2-Methylpiperidine,CC1CCCCN1,109-05-7,Biofuel
2-Methylpyridine,CC1=CC=CC=N1,109-06-8,Biofuel
3-Methylpyridine,CC1=CN=CC=C1,108-99-6,Biofuel
4-Methylpyridine,CC1=CC=NC=C1,108-89-4,Biofuel
Aniline,C1=CC=C(C=C1)N,62-53-3,Biofuel
N-methylaniline,CNC1=CC=CC=C1,100-61-8,Biofuel
Indole,C1=CC=C2C(=C1)C=CN2,120-72-9,Biofuel
Quinoline,C1=CC=C2C(=C1)C=CC=N2,91-22-5,Biofuel
Dibenzopyrrole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,86-74-8,Biofuel
Acridine,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,260-94-6,Not biofuel
"N,N'-Di-sec-butyl-p-phenylenediamine",CCC(C)NC1=CC=C(C=C1)NC(C)CC,101-96-2,Not biofuel
Urea,C(=O)(N)N,57-13-6,Biofuel
Morpholine,C1COCCN1,110-91-8,Not biofuel
N-nitrosodiphenylamine,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,86-30-6,Not biofuel
Nitromethane,C[N+](=O)[O-],75-52-5,Not biofuel
Nitroethane,CC[N+](=O)[O-],79-24-3,Not biofuel
1-Nitropropane,CCC[N+](=O)[O-],108-03-2,Not biofuel
