Name,Smile,CAS Number,Type
"3,4-Dimethylheptane",CCCC(C)C(C)CC,922-28-1  ,Not biofuel
"3,5-Dimethylheptane",CCC(C)CC(C)CC,926-82-9,Not biofuel
"4,4-Dimethylheptane",CCCC(C)(C)CCC,1068-19-5,Not biofuel
3-Ethylheptane,CCCCC(CC)CC,15869-80-4  ,Not biofuel
4-Ethylheptane,CCCC(CC)CCC,2216-32-2,Not biofuel
"2,2,3-Trimethylhexane",CCCC(C)C(C)(C)C,16747-25-4  ,Not biofuel
"2,2,4-Trimethylhexane",CCC(C)CC(C)(C)C,16747-26-5,Not biofuel
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,3522-94-9  ,Not biofuel
"2,3,3-Trimethylhexane",CCCC(C)(C)C(C)C,16747-28-7,Not biofuel
"2,3,5-Trimethylhexane",CC(C)CC(C)C(C)C,1069-53-0  ,Not biofuel
"2,4,4-Trimethylhexane",CCC(C)(C)CC(C)C,16747-30-1,Not biofuel
"3,3,4-Trimethylhexane",CCC(C)C(C)(C)CC,16747-31-2,Not biofuel
3-Ethyl-3-methylhexane,CCCC(C)(CC)CC,3074-76-8  ,Not biofuel
"2,2,3,4-Tetramethylpentane",CC(C)C(C)C(C)(C)C,1186-53-4  ,Not biofuel
"2,3,3,4-Tetramethylpentane",CC(C)C(C)(C)C(C)C,16747-38-9,Not biofuel
"2,2,4,4-Tetramethylpentane",CC(C)(C)CC(C)(C)C,1070-87-7  ,Not biofuel
"2,2,3,3-Tetramethylpentane",CCC(C)(C)C(C)(C)C,7154-79-2  ,Not biofuel
"3-Ethyl-2,3-dimethylpentane",CCC(C)(CC)C(C)C,16747-33-4  ,Not biofuel
"3-Ethyl-2,2-dimethylpentane",CCC(CC)C(C)(C)C,16747-32-3,Not biofuel
"3-Ethyl-2,4-dimethylpentane",CCC(C(C)C)C(C)C,1068-87-7,Not biofuel
"3,3-Diethylpentane",CCC(CC)(CC)CC,1067-20-5,Not biofuel
"2,3,4,5-Tetramethylhexane",CC(C)C(C)C(C)C(C)C,52897-15-1  ,Not biofuel
Cyclopropane,C1CC1,75-19-4,Not biofuel
Cyclobutane,C1CCC1,287-23-0,Not biofuel
Cyclopentane,C1CCCC1,287-92-3,Biofuel
Methylcyclopentane,CC1CCCC1,96-37-7,Biofuel
Cyclohexane,C1CCCCC1,110-82-7  ,Biofuel
Ethylcyclopentane,CCC1CCCC1,1640-89-7,Not biofuel
"1,1-Dimethylcyclopentane",CC1(C)CCCC1,1638-26-2  ,Not biofuel
"1,2-Dimethylcyclopentane",CC1CCCC1C,2452-99-5,Not biofuel
"cis-1,3-Dimethylcyclopentane",CC1CCC(C1)C,2532-58-3,Not biofuel
Methylcyclohexane,CC1CCCCC1,108-87-2  ,Biofuel
Cycloheptane,C1CCCCCC1,291-64-5  ,Biofuel
"1,2,4-Trimethylcyclopentane",CC1CC(C)C(C)C1,2815-58-9  ,Not biofuel
Propylcyclopentane,CCCC1CCCC1,2040-96-2,Biofuel
Isopropylcyclopentane,CC(C)C1CCCC1,3875-51-2,Not biofuel
1-Ethyl-3-methylcyclopentane,CCC1CCC(C)C1,3726-47-4  ,Not biofuel
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,590-66-9  ,Biofuel
"1,2-Dimethylcyclohexane",CC1CCCCC1C,583-57-3,Not biofuel
"1,3-Dimethylcyclohexane",CC1CCCC(C)C1,591-21-9  ,Not biofuel
"1,4-Dimethylcyclohexane",CC1CCC(C)CC1,589-90-2  ,Not biofuel
Ethylcyclohexane,CCC1CCCCC1,1678-91-7,Biofuel
Ethylcyclohexane,CCC1CCCCC1,1678-91-7,Biofuel
Cyclooctane,C1CCCCCCC1,292-64-8,Not biofuel
"1,1,2-Trimethylcyclohexane",CC1CCCCC1(C)C,7094-26-0  ,Not biofuel
"1,1,3-Trimethylcyclohexane",CC1CCCC(C)(C)C1,3073-66-3,Not biofuel
"1,2,3-Trimethylcyclohexane",CC1CCCC(C)C1C,1678-97-3  ,Not biofuel
